start_station_name,count,month,station_name,lat,lng
E 16 St & 5 Ave,1,07,E 16 St & 5 Ave,40.73767578333333,-74.05254506666667
Maiden Ln & Pearl St,1,07,Maiden Ln & Pearl St,40.73767578333333,-74.05254506666667
W 20 St & 8 Ave,1,07,W 20 St & 8 Ave,40.726639867,-74.029737234
E 6 St & Avenue B,1,07,E 6 St & Avenue B,40.75540016666667,-74.04018353333333
W 63 St & Broadway,1,07,W 63 St & Broadway,40.761369316666666,-74.0362417
6 Ave & W 34 St,1,07,6 Ave & W 34 St,40.71599065,-74.06153856666667
Water St &  Fletcher St,1,07,Water St &  Fletcher St,40.7442733,-74.03436505
Walker St & Baxter St,1,07,Walker St & Baxter St,40.7310711,-74.06444608333334
Greenwich St & Hubert St,1,07,Greenwich St & Hubert St,40.7310711,-74.06444608333334
West St & Liberty St,1,07,West St & Liberty St,40.73767578333333,-74.05254506666667
E 72 St & York Ave,1,07,E 72 St & York Ave,40.738623833333335,-74.02162763333334
W 34 St & 11 Ave,1,07,W 34 St & 11 Ave,40.7310711,-74.06444608333334
E 4 St & 2 Ave,1,07,E 4 St & 2 Ave,40.7310711,-74.06444608333334
E 4 St & 2 Ave,1,06,E 4 St & 2 Ave,40.7310711,-74.06444608333334
6 Ave & Canal St,1,07,6 Ave & Canal St,40.7310711,-74.06444608333334
6 Ave & Canal St,1,06,6 Ave & Canal St,40.7310711,-74.06444608333334
Catherine St & Monroe St,1,07,Catherine St & Monroe St,40.7310711,-74.06444608333334
Catherine St & Monroe St,1,06,Catherine St & Monroe St,40.7310711,-74.06444608333334
Greenwich St & Hubert St,1,12,Greenwich St & Hubert St,40.7310711,-74.06444608333334
W 41 St & 8 Ave,1,07,W 41 St & 8 Ave,40.7574643,-74.03643093333334
W 64 St & Thelonious Monk Circle,1,07,W 64 St & Thelonious Monk Circle,40.76129006666667,-74.0161544
