end_station_name,count,month,station_name,lat,lng
Essex Light Rail,287,08,Essex Light Rail,40.71282542409364,-74.03647353437131
Oakland Ave,284,2,Oakland Ave,40.73742057858394,-74.05223238649396
Christ Hospital,283,12,Christ Hospital,40.73473786881123,-74.05036350477837
Dey St,277,07,Dey St,40.737673526096245,-74.06690925813731
Leonard Gordon Park,275,01,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Leonard Gordon Park,271,12,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Fairmount Ave,271,2,Fairmount Ave,40.725731334817524,-74.07171705154973
Communipaw & Berry Lane,258,12,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Essex Light Rail,255,12,Essex Light Rail,40.71282542409364,-74.03647353437131
Christ Hospital,251,01,Christ Hospital,40.73473786881123,-74.05036350477837
Communipaw & Berry Lane,249,01,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Leonard Gordon Park,247,2,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Hilltop,247,12,Hilltop,40.73112283846063,-74.05748458083639
Dey St,245,01,Dey St,40.737673526096245,-74.06690925813731
Astor Place,242,01,Astor Place,40.71929424516937,-74.07113886669298
nan,239,12,nan,40.73,-74.07000000000001
York St & Marin Blvd,235,2,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Astor Place,233,12,Astor Place,40.71929424516937,-74.07113886669298
Christ Hospital,229,2,Christ Hospital,40.73473786881123,-74.05036350477837
Dey St,227,06,Dey St,40.737673526096245,-74.06690925813731
Astor Place,221,2,Astor Place,40.71929424516937,-74.07113886669298
York St & Marin Blvd,219,12,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Union St,218,07,Union St,40.718246810179615,-74.08269194275404
Glenwood Ave,214,06,Glenwood Ave,40.72752725314292,-74.07095047598266
Union St,212,08,Union St,40.718246810179615,-74.08269194275404
Glenwood Ave,210,01,Glenwood Ave,40.72752725314292,-74.07095047598266
nan,202,01,nan,40.73,-74.07000000000001
Heights Elevator,202,01,Heights Elevator,40.74853453117808,-74.04047484994652
Lincoln Park,201,2,Lincoln Park,40.72465254456894,-74.07829802469283
Communipaw & Berry Lane,199,2,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Heights Elevator,199,2,Heights Elevator,40.74853453117808,-74.04047484994652
Heights Elevator,198,12,Heights Elevator,40.74853453117808,-74.04047484994652
Jackson Square,198,08,Jackson Square,40.71128515883156,-74.07864229804078
5 Corners Library,195,01,5 Corners Library,40.73488147223507,-74.05951305622865
Lincoln Park,195,12,Lincoln Park,40.72465254456894,-74.07829802469283
Dey St,191,2,Dey St,40.737673526096245,-74.06690925813731
Jackson Square,190,07,Jackson Square,40.71128515883156,-74.07864229804078
Bergen Ave & Stegman St,189,07,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Lincoln Park,182,01,Lincoln Park,40.72465254456894,-74.07829802469283
Glenwood Ave,181,12,Glenwood Ave,40.72752725314292,-74.07095047598266
Dey St,180,12,Dey St,40.737673526096245,-74.06690925813731
York St & Marin Blvd,179,01,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Glenwood Ave,176,2,Glenwood Ave,40.72752725314292,-74.07095047598266
Bergen Ave & Stegman St,174,08,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Union St,170,06,Union St,40.718246810179615,-74.08269194275404
5 Corners Library,167,2,5 Corners Library,40.73488147223507,-74.05951305622865
Jackson Square,158,06,Jackson Square,40.71128515883156,-74.07864229804078
2 St & Park Ave,152,2,2 St & Park Ave,40.739109011085155,-74.03307036559706
5 Corners Library,149,12,5 Corners Library,40.73488147223507,-74.05951305622865
nan,144,2,nan,40.73,-74.07000000000001
Union St,128,01,Union St,40.718246810179615,-74.08269194275404
Union St,120,12,Union St,40.718246810179615,-74.08269194275404
Bergen Ave & Stegman St,110,06,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Grant Ave & MLK Dr,106,07,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Jackson Square,99,12,Jackson Square,40.71128515883156,-74.07864229804078
Union St,79,2,Union St,40.718246810179615,-74.08269194275404
Jackson Square,78,01,Jackson Square,40.71128515883156,-74.07864229804078
Grant Ave & MLK Dr,68,01,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Bergen Ave & Stegman St,66,12,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Grant Ave & MLK Dr,64,08,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Jackson Square,58,2,Jackson Square,40.71128515883156,-74.07864229804078
Grant Ave & MLK Dr,46,06,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Bergen Ave & Stegman St,46,01,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Grant Ave & MLK Dr,43,12,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Grant Ave & MLK Dr,43,2,Grant Ave & MLK Dr,40.70938485191088,-74.0805734622233
Bergen Ave & Stegman St,41,2,Bergen Ave & Stegman St,40.70700934003954,-74.08612128467436
Greenwich St & Hubert St,17,07,Greenwich St & Hubert St,40.7310711,-74.06444608333334
Greenwich St & Hubert St,14,08,Greenwich St & Hubert St,40.7310711,-74.06444608333334
Maiden Ln & Pearl St,12,07,Maiden Ln & Pearl St,40.73767578333333,-74.05254506666667
Greenwich St & Hubert St,11,06,Greenwich St & Hubert St,40.7310711,-74.06444608333334
Maiden Ln & Pearl St,10,08,Maiden Ln & Pearl St,40.73767578333333,-74.05254506666667
W 34 St & 11 Ave,6,06,W 34 St & 11 Ave,40.7310711,-74.06444608333334
Maiden Ln & Pearl St,5,12,Maiden Ln & Pearl St,40.73767578333333,-74.05254506666667
W 34 St & 11 Ave,4,07,W 34 St & 11 Ave,40.7310711,-74.06444608333334
Christopher St & Greenwich St,4,07,Christopher St & Greenwich St,40.7310711,-74.06444608333334
Greenwich St & Hubert St,4,12,Greenwich St & Hubert St,40.7310711,-74.06444608333334
West St & Liberty St,4,07,West St & Liberty St,40.73767578333333,-74.05254506666667
Greenwich St & Hubert St,3,01,Greenwich St & Hubert St,40.7310711,-74.06444608333334
Maiden Ln & Pearl St,3,06,Maiden Ln & Pearl St,40.73767578333333,-74.05254506666667
Greenwich St & Hubert St,3,2,Greenwich St & Hubert St,40.7310711,-74.06444608333334
Christopher St & Greenwich St,2,06,Christopher St & Greenwich St,40.7310711,-74.06444608333334
8 Ave & W 33 St,2,08,8 Ave & W 33 St,40.76159938333333,-74.03773895
West St & Liberty St,2,01,West St & Liberty St,40.73767578333333,-74.05254506666667
6 Ave & Canal St,2,07,6 Ave & Canal St,40.7310711,-74.06444608333334
West St & Liberty St,2,06,West St & Liberty St,40.73767578333333,-74.05254506666667
Maiden Ln & Pearl St,2,2,Maiden Ln & Pearl St,40.73767578333333,-74.05254506666667
Water St &  Fletcher St,2,07,Water St &  Fletcher St,40.7442733,-74.03436505
6 Ave & Canal St,1,08,6 Ave & Canal St,40.7310711,-74.06444608333334
E 4 St & 2 Ave,1,06,E 4 St & 2 Ave,40.7310711,-74.06444608333334
6 Ave & Canal St,1,06,6 Ave & Canal St,40.7310711,-74.06444608333334
